name,base,response,value,content
ABCCodes,Erp.BO.ABCCodeSvc/ABCCodes,200,Yes,"{""Company"":""157803"",""ABCCode1"":""A"",""CountFreq"":12,""ExcludeFromCC"":false,""StockValPcnt"":0,""PcntTolerance"":0,""CalcPcnt"":true,""CalcQty"":true,""CalcValue"":true,""QtyTolerance"":0,""ValueTolerance"":20000,""ShipToCustNum"":0,""SysRevID"":88069680,""SysRowID"":""13dd60c7-31f6-47ab-8379-5c7125067eae"",""BitFlag"":0,""RowMod"":""""}"
List,Erp.BO.ABCCodeSvc/List,200,Yes,"{""Company"":""157803"",""ABCCode"":""A"",""CountFreq"":12,""ExcludeFromCC"":false,""StockValPcnt"":0,""PcntTolerance"":0,""QtyTolerance"":0,""ValueTolerance"":20000,""SysRowID"":""13dd60c7-31f6-47ab-8379-5c7125067eae"",""RowMod"":""""}"
AccountBudgets,Erp.BO.AccountBudgetSvc/AccountBudgets,200,No,
GLBudgetDtls,Erp.BO.AccountBudgetSvc/GLBudgetDtls,200,No,
List,Erp.BO.AccountBudgetSvc/List,200,No,
ACTTypeRevisions,Erp.BO.ACTTypeRevisionSvc/ACTTypeRevisions,Request failed with status code 500,,
List,Erp.BO.ACTTypeRevisionSvc/List,Request failed with status code 500,,
ACTTypes,Erp.BO.ACTTypeSvc/ACTTypes,200,Yes,"{""ACTTypeUID"":257,""DisplayName"":""AP Adjustment"",""Company"":""157803"",""DetailedDescription"":""AP Invoice Adjustment"",""Limited"":false,""IsLog"":false,""SysRevID"":76684586,""SysRowID"":""c724cf24-8183-4bde-bb8e-5d778357ffb9"",""ConversionErrors"":false,""Loaded"":2,""IsLocked"":false,""LockStatus"":"""",""BitFlag"":0,""RowMod"":""""}"
ACTRevisions,Erp.BO.ACTTypeSvc/ACTRevisions,200,Yes,"{""ACTRevisionUID"":16471,""ACTTypeUID"":257,""RevisionCode"":""Base Std"",""RevisionStatus"":""Active"",""Description"":""Standard baseline revision"",""SendToReviewJournal"":false,""Company"":""157803"",""IsDefault"":true,""RType"":""Standard"",""ABTVer"":""5.1"",""VersionUID"":2200,""PrevABTVer"":"""",""PatchABTVer"":""0.0"",""PrevPatchABTVer"":"""",""LocVer"":0,""PatchLocVer"":0,""UpdatePatchVer"":false,""Modified"":false,""PrevModified"":false,""ManuallyUpdVer"":false,""NeedPrePostUpdate"":false,""PrevRevisionStatus"":""Active"",""SysRevID"":110751579,""SysRowID"":""391bffcb-6af8-4695-b4f2-9f9b6ef0396e"",""PendingConversion"":false,""CanUseSysAssembly"":true,""PostAssemblyName"":""AP_ADJUSTMENT_157803_Post_16471.cs"",""Loaded"":2,""BitFlag"":0,""RowMod"":""""}"
ABTDocLines,Erp.BO.ACTTypeSvc/ABTDocLines,200,Yes,"{""ACTTypeUID"":257,""ACTRevisionUID"":16471,""ABTDocLineUID"":61210,""Qualifier"":""AP Adjustment"",""IsDefault"":true,""DataSource"":"""",""Description"":""AP Invoice Adjustment"",""ParentABTDocLineUID"":0,""SequenceNumber"":0,""DocLinePath"":""AP Adjustment"",""Company"":""157803"",""SysRevID"":104567760,""SysRowID"":""869c026e-63d4-4140-b5e1-5fb626f9f82d"",""Loaded"":0,""DevelopMode"":false,""BitFlag"":0,""RowMod"":""""}"
ABTAmounts,Erp.BO.ACTTypeSvc/ABTAmounts,200,Yes,"{""ACTTypeUID"":257,""ACTRevisionUID"":16471,""ABTDocLineUID"":61210,""ABTAmountUID"":114369,""Qualifier"":""Total Tax Adjustment"",""Description"":""Total Tax Adjustment"",""IsDefault"":true,""Company"":""157803"",""SysRevID"":104567761,""SysRowID"":""086e314b-40fe-4f79-841c-9c2c5c471298"",""Loaded"":0,""DevelopMode"":false,""BitFlag"":0,""RowMod"":""""}"
ABTPostEntities,Erp.BO.ACTTypeSvc/ABTPostEntities,200,Yes,"{""ACTTypeUID"":257,""ACTRevisionUID"":16471,""ABTDocLineUID"":61210,""ABTPostEntityUID"":224458,""Qualifier"":""Company Parameters"",""Description"":""Company Parameters"",""IsDefault"":true,""SequenceNumber"":0,""IsReference"":false,""DataSource"":""GLSyst"",""Company"":""157803"",""SysRevID"":104567764,""SysRowID"":""8e55d723-3f9f-4ae1-90cd-56e046b2c5fd"",""DBSchemaName"":""Erp"",""DevelopMode"":false,""Loaded"":0,""BitFlag"":0,""RowMod"":""""}"
ABTPostCodes,Erp.BO.ACTTypeSvc/ABTPostCodes,200,Yes,"{""ACTTypeUID"":257,""ACTRevisionUID"":16471,""ABTDocLineUID"":61210,""ABTPostEntityUID"":224458,""ABTPostCodeUID"":736665,""PopulationMethod"":1,""Qualifier"":""AP Interface with GL"",""Description"":""AP Interface with GL"",""DataSource"":""GLSyst"",""DataField"":""APInterfaced"",""IsDefault"":true,""CodeType"":""Logical"",""Company"":""157803"",""SysRevID"":104567765,""SysRowID"":""0505b008-f29e-4439-b2b9-0f91cea8a68c"",""DBSchemaName"":""Erp"",""BAQDataField"":"""",""BAQDataSource"":"""",""DevelopMode"":false,""Loaded"":0,""TableDataField"":""APInterfaced"",""TableDataSource"":""GLSyst"",""BitFlag"":0,""RowMod"":""""}"
ABTQueries,Erp.BO.ACTTypeSvc/ABTQueries,200,No,
ABTQParams,Erp.BO.ACTTypeSvc/ABTQParams,200,No,
